Rank,u,u_label,v,v_label,Edge name,flow volume
1,16,Échangeur 1,17,Masina,Échangeur 1 - Masina,2178.9040000000005
2,16,Échangeur 1,29,Limete PL,Échangeur 1 - Limete PL,1949.144716041214
3,16,Échangeur 1,30,Limete R,Échangeur 1 - Limete R,1754.9686941757843
4,15,Lemba,16,Échangeur 1,Lemba - Échangeur 1,1710.5199961147403
5,7,Gare Centrale,29,Limete PL,Gare Centrale - Limete PL,1703.144714359536
6,2,Triangle Matadi Kibala,28,Wenze Matadi Kibala,Triangle Matadi Kibala - Wenze Matadi Kibala,1670.3400000000006
7,1,Route de Matadi (border Kinshasa),27,Benseke,Route de Matadi (border Kinshasa) - Benseke,1670.3400000000006
8,27,Benseke,28,Wenze Matadi Kibala,Benseke - Wenze Matadi Kibala,1670.3400000000006
9,2,Triangle Matadi Kibala,11,Triangle Campus,Triangle Matadi Kibala - Triangle Campus,1654.5960152119428
10,11,Triangle Campus,12,Rond Point Ngaba,Triangle Campus - Rond Point Ngaba,1654.596001818812
11,6,Bd du 30 Juin,10,Pierre Mulele,Bd du 30 Juin - Pierre Mulele,1578.3312895987615
12,10,Pierre Mulele,14,Bd Triomphal,Pierre Mulele - Bd Triomphal,1377.4313029238153
13,12,Rond Point Ngaba,15,Lemba,Rond Point Ngaba - Lemba,1251.9760001126042
14,13,Av. de l'Université,30,Limete R,Av. de l'Université - Limete R,1216.055315699292
15,6,Bd du 30 Juin,7,Gare Centrale,Bd du 30 Juin - Gare Centrale,1178.6633101563823
16,18,Av. Ndjoku,19,Aéroport Ndjili,Av. Ndjoku - Aéroport Ndjili,1158.0039999999995
17,17,Masina,18,Av. Ndjoku,Masina - Av. Ndjoku,1158.0039999999995
18,13,Av. de l'Université,14,Bd Triomphal,Av. de l'Université - Bd Triomphal,1136.1873144053877
19,5,Mont Ngaliema,6,Bd du 30 Juin,Mont Ngaliema - Bd du 30 Juin,897.2440139350492
20,2,Triangle Matadi Kibala,3,UPN,Triangle Matadi Kibala - UPN,803.4360039252402
21,9,Sanatorium,10,Pierre Mulele,Sanatorium - Pierre Mulele,756.6959887358776
22,8,Selembao (Auto Stop),9,Sanatorium,Selembao (Auto Stop) - Sanatorium,645.5039906452173
23,3,UPN,8,Selembao (Auto Stop),UPN - Selembao (Auto Stop),637.3039933588617
24,20,Nsele,21,RP Nsele,Nsele - RP Nsele,541.692
25,21,RP Nsele,22,Menkao,RP Nsele - Menkao,541.692
26,19,Aéroport Ndjili,20,Nsele,Aéroport Ndjili - Nsele,541.692
27,12,Rond Point Ngaba,13,Av. de l'Université,Rond Point Ngaba - Av. de l'Université,371.13204374569295
28,3,UPN,4,Av. de l'École – Binza,UPN - Av. de l'École – Binza,166.132015975078
29,4,Av. de l'École – Binza,5,Mont Ngaliema,Av. de l'École – Binza - Mont Ngaliema,124.47601743869342
30,12,Rond Point Ngaba,25,UNIKIN,Rond Point Ngaba - UNIKIN,1.3393130168962176e-05
31,11,Triangle Campus,25,UNIKIN,Triangle Campus - UNIKIN,1.3393130168962176e-05
32,25,UNIKIN,26,Kimwenza 2,UNIKIN - Kimwenza 2,6.879397480262204e-43
33,21,RP Nsele,23,Maluku,RP Nsele - Maluku,3.3086534156867425e-43
34,2,Triangle Matadi Kibala,24,Arrêt Gare,Triangle Matadi Kibala - Arrêt Gare,3.0109447494631638e-43
