Rank,u,u_label,v,v_label,Edge name,flow volume
1,16,Échangeur 1,17,Masina,Échangeur 1 - Masina,2614.684799999999
2,16,Échangeur 1,29,Limete PL,Échangeur 1 - Limete PL,2159.8799982581672
3,1,Route de Matadi (border Kinshasa),27,Benseke,Route de Matadi (border Kinshasa) - Benseke,2004.4080000000001
4,27,Benseke,28,Wenze Matadi Kibala,Benseke - Wenze Matadi Kibala,2004.408
5,2,Triangle Matadi Kibala,28,Wenze Matadi Kibala,Triangle Matadi Kibala - Wenze Matadi Kibala,2004.408
6,10,Pierre Mulele,14,Bd Triomphal,Pierre Mulele - Bd Triomphal,1950.253431732946
7,6,Bd du 30 Juin,10,Pierre Mulele,Bd du 30 Juin - Pierre Mulele,1913.5680285366586
8,2,Triangle Matadi Kibala,11,Triangle Campus,Triangle Matadi Kibala - Triangle Campus,1867.2729633443305
9,11,Triangle Campus,12,Rond Point Ngaba,Triangle Campus - Rond Point Ngaba,1867.2729609373798
10,7,Gare Centrale,29,Limete PL,Gare Centrale - Limete PL,1864.6800065400107
11,13,Av. de l'Université,30,Limete R,Av. de l'Université - Limete R,1858.3737137004948
12,15,Lemba,16,Échangeur 1,Lemba - Échangeur 1,1825.919084349581
13,16,Échangeur 1,30,Limete R,Échangeur 1 - Limete R,1706.8550871674327
14,13,Av. de l'Université,14,Bd Triomphal,Av. de l'Université - Bd Triomphal,1660.760632484798
15,6,Bd du 30 Juin,7,Gare Centrale,Bd du 30 Juin - Gare Centrale,1593.4896033979849
16,18,Av. Ndjoku,19,Aéroport Ndjili,Av. Ndjoku - Aéroport Ndjili,1389.6048000000003
17,17,Masina,18,Av. Ndjoku,Masina - Av. Ndjoku,1389.6048000000003
18,12,Rond Point Ngaba,15,Lemba,Rond Point Ngaba - Lemba,1275.6662847896303
19,5,Mont Ngaliema,6,Bd du 30 Juin,Mont Ngaliema - Bd du 30 Juin,1236.2159741109779
20,2,Triangle Matadi Kibala,3,UPN,Triangle Matadi Kibala - UPN,1082.3654378510475
21,9,Sanatorium,10,Pierre Mulele,Sanatorium - Pierre Mulele,866.7542634198304
22,8,Selembao (Auto Stop),9,Sanatorium,Selembao (Auto Stop) - Sanatorium,733.3238637314365
23,3,UPN,8,Selembao (Auto Stop),UPN - Selembao (Auto Stop),723.4838640375458
24,20,Nsele,21,RP Nsele,Nsele - RP Nsele,650.0303999999998
25,21,RP Nsele,22,Menkao,RP Nsele - Menkao,650.0303999999998
26,19,Aéroport Ndjili,20,Nsele,Aéroport Ndjili - Nsele,650.0303999999998
27,12,Rond Point Ngaba,13,Av. de l'Université,Rond Point Ngaba - Av. de l'Université,553.8210826108411
28,3,UPN,4,Av. de l'École – Binza,UPN - Av. de l'École – Binza,358.8815745018025
29,4,Av. de l'École – Binza,5,Mont Ngaliema,Av. de l'École – Binza - Mont Ngaliema,308.89437459263513
30,12,Rond Point Ngaba,25,UNIKIN,Rond Point Ngaba - UNIKIN,2.406950641245875e-06
31,11,Triangle Campus,25,UNIKIN,Triangle Campus - UNIKIN,2.406950641245875e-06
32,25,UNIKIN,26,Kimwenza 2,UNIKIN - Kimwenza 2,6.969271295744859e-39
33,21,RP Nsele,23,Maluku,RP Nsele - Maluku,2.954191909993779e-39
34,2,Triangle Matadi Kibala,24,Arrêt Gare,Triangle Matadi Kibala - Arrêt Gare,-1.3967153567696044e-40
