Rank,u,u_label,v,v_label,Edge name,flow volume
1,16,Échangeur 1,17,Masina,Échangeur 1 - Masina,2178.9040000000045
2,16,Échangeur 1,29,Limete PL,Échangeur 1 - Limete PL,1802.687999511074
3,6,Bd du 30 Juin,10,Pierre Mulele,Bd du 30 Juin - Pierre Mulele,1724.7879994149644
4,15,Lemba,16,Échangeur 1,Lemba - Échangeur 1,1706.650857911716
5,1,Route de Matadi (border Kinshasa),27,Benseke,Route de Matadi (border Kinshasa) - Benseke,1670.34
6,2,Triangle Matadi Kibala,28,Wenze Matadi Kibala,Triangle Matadi Kibala - Wenze Matadi Kibala,1670.34
7,27,Benseke,28,Wenze Matadi Kibala,Benseke - Wenze Matadi Kibala,1670.34
8,2,Triangle Matadi Kibala,11,Triangle Campus,Triangle Matadi Kibala - Triangle Campus,1654.5959987463204
9,11,Triangle Campus,12,Rond Point Ngaba,Triangle Campus - Rond Point Ngaba,1654.595998741422
10,16,Échangeur 1,30,Limete R,Échangeur 1 - Limete R,1604.6428585922272
11,7,Gare Centrale,29,Limete PL,Gare Centrale - Limete PL,1556.6879994060657
12,10,Pierre Mulele,14,Bd Triomphal,Pierre Mulele - Bd Triomphal,1523.8879994363404
13,13,Av. de l'Université,30,Limete R,Av. de l'Université - Limete R,1366.3811410691255
14,6,Bd du 30 Juin,7,Gare Centrale,Bd du 30 Juin - Gare Centrale,1325.119999007858
15,13,Av. de l'Université,14,Bd Triomphal,Av. de l'Université - Bd Triomphal,1282.6439994021284
16,12,Rond Point Ngaba,15,Lemba,Rond Point Ngaba - Lemba,1248.106857631777
17,18,Av. Ndjoku,19,Aéroport Ndjili,Av. Ndjoku - Aéroport Ndjili,1158.004000000001
18,17,Masina,18,Av. Ndjoku,Masina - Av. Ndjoku,1158.004000000001
19,5,Mont Ngaliema,6,Bd du 30 Juin,Mont Ngaliema - Bd du 30 Juin,897.243999453673
20,2,Triangle Matadi Kibala,3,UPN,Triangle Matadi Kibala - UPN,803.435999175425
21,9,Sanatorium,10,Pierre Mulele,Sanatorium - Pierre Mulele,756.6959996662174
22,8,Selembao (Auto Stop),9,Sanatorium,Selembao (Auto Stop) - Sanatorium,645.503999606369
23,3,UPN,8,Selembao (Auto Stop),UPN - Selembao (Auto Stop),637.3039995332493
24,20,Nsele,21,RP Nsele,Nsele - RP Nsele,541.6919999999998
25,21,RP Nsele,22,Menkao,RP Nsele - Menkao,541.6919999999998
26,19,Aéroport Ndjili,20,Nsele,Aéroport Ndjili - Nsele,541.6919999999998
27,12,Rond Point Ngaba,13,Av. de l'Université,Rond Point Ngaba - Av. de l'Université,375.0011400361938
28,3,UPN,4,Av. de l'École – Binza,UPN - Av. de l'École – Binza,166.13199927953997
29,4,Av. de l'École – Binza,5,Mont Ngaliema,Av. de l'École – Binza - Mont Ngaliema,124.47599915401385
30,11,Triangle Campus,25,UNIKIN,Triangle Campus - UNIKIN,4.8985535992667455e-09
31,12,Rond Point Ngaba,25,UNIKIN,Rond Point Ngaba - UNIKIN,4.898553599266742e-09
32,21,RP Nsele,23,Maluku,RP Nsele - Maluku,-5.406322423985648e-41
33,2,Triangle Matadi Kibala,24,Arrêt Gare,Triangle Matadi Kibala - Arrêt Gare,-9.098442287266011e-41
34,25,UNIKIN,26,Kimwenza 2,UNIKIN - Kimwenza 2,-2.0390439870376855e-40
