Rank,u,u_label,v,v_label,Edge name,flow volume
1,16,Échangeur 1,17,Masina,Échangeur 1 - Masina,2178.9039999999995
2,16,Échangeur 1,29,Limete PL,Échangeur 1 - Limete PL,1787.2735951521968
3,2,Triangle Matadi Kibala,28,Wenze Matadi Kibala,Triangle Matadi Kibala - Wenze Matadi Kibala,1670.3400000000001
4,27,Benseke,28,Wenze Matadi Kibala,Benseke - Wenze Matadi Kibala,1670.3400000000001
5,1,Route de Matadi (border Kinshasa),27,Benseke,Route de Matadi (border Kinshasa) - Benseke,1670.3400000000001
6,10,Pierre Mulele,14,Bd Triomphal,Pierre Mulele - Bd Triomphal,1638.1410054333614
7,7,Gare Centrale,29,Limete PL,Gare Centrale - Limete PL,1566.526404711002
8,6,Bd du 30 Juin,10,Pierre Mulele,Bd du 30 Juin - Pierre Mulele,1565.675622902961
9,13,Av. de l'Université,30,Limete R,Av. de l'Université - Limete R,1562.9596634761883
10,2,Triangle Matadi Kibala,11,Triangle Campus,Triangle Matadi Kibala - Triangle Campus,1530.5045884152478
11,11,Triangle Campus,12,Rond Point Ngaba,Triangle Campus - Rond Point Ngaba,1530.5045877571938
12,15,Lemba,16,Échangeur 1,Lemba - Échangeur 1,1494.6579314705841
13,16,Échangeur 1,30,Limete R,Échangeur 1 - Limete R,1408.0643364295747
14,13,Av. de l'Université,14,Bd Triomphal,Av. de l'Université - Bd Triomphal,1396.8970055813152
15,6,Bd du 30 Juin,7,Gare Centrale,Bd du 30 Juin - Gare Centrale,1340.534404096648
16,18,Av. Ndjoku,19,Aéroport Ndjili,Av. Ndjoku - Aéroport Ndjili,1158.0040000000004
17,17,Masina,18,Av. Ndjoku,Masina - Av. Ndjoku,1158.0040000000004
18,5,Mont Ngaliema,6,Bd du 30 Juin,Mont Ngaliema - Bd du 30 Juin,1071.7707809189794
19,12,Rond Point Ngaba,15,Lemba,Rond Point Ngaba - Lemba,1036.1139313766455
20,2,Triangle Matadi Kibala,3,UPN,Triangle Matadi Kibala - UPN,927.5274103730941
21,9,Sanatorium,10,Pierre Mulele,Sanatorium - Pierre Mulele,706.2606293090716
22,8,Selembao (Auto Stop),9,Sanatorium,Selembao (Auto Stop) - Sanatorium,595.0686293498546
23,3,UPN,8,Selembao (Auto Stop),UPN - Selembao (Auto Stop),586.8686293784467
24,20,Nsele,21,RP Nsele,Nsele - RP Nsele,541.6919999999999
25,21,RP Nsele,22,Menkao,RP Nsele - Menkao,541.6919999999999
26,19,Aéroport Ndjili,20,Nsele,Aéroport Ndjili - Nsele,541.6919999999999
27,12,Rond Point Ngaba,13,Av. de l'Université,Rond Point Ngaba - Av. de l'Université,462.90265735382053
28,3,UPN,4,Av. de l'École – Binza,UPN - Av. de l'École – Binza,340.65878091437764
29,4,Av. de l'École – Binza,5,Mont Ngaliema,Av. de l'École – Binza - Mont Ngaliema,299.00278084324356
30,12,Rond Point Ngaba,25,UNIKIN,Rond Point Ngaba - UNIKIN,6.580541643777621e-07
31,11,Triangle Campus,25,UNIKIN,Triangle Campus - UNIKIN,6.580541643777621e-07
32,21,RP Nsele,23,Maluku,RP Nsele - Maluku,1.182469525764701e-38
33,25,UNIKIN,26,Kimwenza 2,UNIKIN - Kimwenza 2,8.061955039329394e-42
34,2,Triangle Matadi Kibala,24,Arrêt Gare,Triangle Matadi Kibala - Arrêt Gare,-3.9327770165921723e-41
