Rank,u,u_label,v,v_label,Edge name,flow volume
1,16,Échangeur 1,17,Masina,Échangeur 1 - Masina,1743.123199999999
2,16,Échangeur 1,29,Limete PL,Échangeur 1 - Limete PL,1462.8603891118462
3,15,Lemba,16,Échangeur 1,Lemba - Échangeur 1,1368.4159958193463
4,6,Bd du 30 Juin,10,Pierre Mulele,Bd du 30 Juin - Pierre Mulele,1359.1204110755295
5,1,Route de Matadi (border Kinshasa),27,Benseke,Route de Matadi (border Kinshasa) - Benseke,1336.272000000001
6,2,Triangle Matadi Kibala,28,Wenze Matadi Kibala,Triangle Matadi Kibala - Wenze Matadi Kibala,1336.272000000001
7,27,Benseke,28,Wenze Matadi Kibala,Benseke - Wenze Matadi Kibala,1336.272000000001
8,2,Triangle Matadi Kibala,11,Triangle Campus,Triangle Matadi Kibala - Triangle Campus,1323.6768027929033
9,11,Triangle Campus,12,Rond Point Ngaba,Triangle Campus - Rond Point Ngaba,1323.6767988035347
10,16,Échangeur 1,30,Limete R,Échangeur 1 - Limete R,1307.5195809386057
11,7,Gare Centrale,29,Limete PL,Gare Centrale - Limete PL,1266.0603887506375
12,10,Pierre Mulele,14,Bd Triomphal,Pierre Mulele - Bd Triomphal,1198.4004162725134
13,13,Av. de l'Université,30,Limete R,Av. de l'Université - Limete R,1069.2996217071016
14,6,Bd du 30 Juin,7,Gare Centrale,Bd du 30 Juin - Gare Centrale,1039.3860178551424
15,13,Av. de l'Université,14,Bd Triomphal,Av. de l'Université - Bd Triomphal,1005.4052190730303
16,12,Rond Point Ngaba,15,Lemba,Rond Point Ngaba - Lemba,1001.5807968852365
17,18,Av. Ndjoku,19,Aéroport Ndjili,Av. Ndjoku - Aéroport Ndjili,926.4032
18,17,Masina,18,Av. Ndjoku,Masina - Av. Ndjoku,926.4032
19,5,Mont Ngaliema,6,Bd du 30 Juin,Mont Ngaliema - Bd du 30 Juin,717.7952045333742
20,2,Triangle Matadi Kibala,3,UPN,Triangle Matadi Kibala - UPN,642.7488016096661
21,9,Sanatorium,10,Pierre Mulele,Sanatorium - Pierre Mulele,605.3567966588228
22,8,Selembao (Auto Stop),9,Sanatorium,Selembao (Auto Stop) - Sanatorium,516.4031972253359
23,3,UPN,8,Selembao (Auto Stop),UPN - Selembao (Auto Stop),509.84319797396546
24,20,Nsele,21,RP Nsele,Nsele - RP Nsele,433.35359999999986
25,21,RP Nsele,22,Menkao,RP Nsele - Menkao,433.35359999999986
26,19,Aéroport Ndjili,20,Nsele,Aéroport Ndjili - Nsele,433.35359999999986
27,12,Rond Point Ngaba,13,Av. de l'Université,Rond Point Ngaba - Av. de l'Université,296.9056140433559
28,3,UPN,4,Av. de l'École – Binza,UPN - Av. de l'École – Binza,132.9056050949881
29,4,Av. de l'École – Binza,5,Mont Ngaliema,Av. de l'École – Binza - Mont Ngaliema,99.58080544927238
30,12,Rond Point Ngaba,25,UNIKIN,Rond Point Ngaba - UNIKIN,3.989368268523512e-06
31,11,Triangle Campus,25,UNIKIN,Triangle Campus - UNIKIN,3.989368268523512e-06
32,21,RP Nsele,23,Maluku,RP Nsele - Maluku,2.739362845391391e-41
33,25,UNIKIN,26,Kimwenza 2,UNIKIN - Kimwenza 2,1.2015802971887968e-42
34,2,Triangle Matadi Kibala,24,Arrêt Gare,Triangle Matadi Kibala - Arrêt Gare,-4.983941636468293e-42
