Rank,u,u_label,v,v_label,Edge name,flow volume
1,16,Échangeur 1,17,Masina,Échangeur 1 - Masina,4357.808000000003
2,7,Gare Centrale,29,Limete PL,Gare Centrale - Limete PL,3444.2754116618544
3,2,Triangle Matadi Kibala,28,Wenze Matadi Kibala,Triangle Matadi Kibala - Wenze Matadi Kibala,3340.6800000000003
4,27,Benseke,28,Wenze Matadi Kibala,Benseke - Wenze Matadi Kibala,3340.6800000000003
5,1,Route de Matadi (border Kinshasa),27,Benseke,Route de Matadi (border Kinshasa) - Benseke,3340.6800000000003
6,10,Pierre Mulele,14,Bd Triomphal,Pierre Mulele - Bd Triomphal,3274.9776230049856
7,16,Échangeur 1,29,Limete PL,Échangeur 1 - Limete PL,3263.324586645214
8,13,Av. de l'Université,30,Limete R,Av. de l'Université - Limete R,3120.543563055299
9,6,Bd du 30 Juin,7,Gare Centrale,Bd du 30 Juin - Gare Centrale,2992.291411672534
10,6,Bd du 30 Juin,10,Pierre Mulele,Bd du 30 Juin - Pierre Mulele,2954.059897932634
11,13,Av. de l'Université,14,Bd Triomphal,Av. de l'Université - Bd Triomphal,2792.489622902797
12,2,Triangle Matadi Kibala,11,Triangle Campus,Triangle Matadi Kibala - Triangle Campus,2751.090962675669
13,11,Triangle Campus,12,Rond Point Ngaba,Triangle Campus - Rond Point Ngaba,2751.090962647593
14,15,Lemba,16,Échangeur 1,Lemba - Échangeur 1,2683.469023328542
15,16,Échangeur 1,30,Limete R,Échangeur 1 - Limete R,2500.8910186245453
16,18,Av. Ndjoku,19,Aéroport Ndjili,Av. Ndjoku - Aéroport Ndjili,2316.008000000001
17,17,Masina,18,Av. Ndjoku,Masina - Av. Ndjoku,2316.008000000001
18,5,Mont Ngaliema,6,Bd du 30 Juin,Mont Ngaliema - Bd du 30 Juin,2299.647310348215
19,2,Triangle Matadi Kibala,3,UPN,Triangle Matadi Kibala - UPN,2164.9730352492343
20,12,Rond Point Ngaba,15,Lemba,Rond Point Ngaba - Lemba,1766.3810230263528
21,9,Sanatorium,10,Pierre Mulele,Sanatorium - Pierre Mulele,1566.3337247344427
22,8,Selembao (Auto Stop),9,Sanatorium,Selembao (Auto Stop) - Sanatorium,1343.9497246779918
23,3,UPN,8,Selembao (Auto Stop),UPN - Selembao (Auto Stop),1327.5497245933161
24,12,Rond Point Ngaba,13,Av. de l'Université,Rond Point Ngaba - Av. de l'Université,1242.3473562469967
25,3,UPN,4,Av. de l'École – Binza,UPN - Av. de l'École – Binza,1169.8315134756224
26,4,Av. de l'École – Binza,5,Mont Ngaliema,Av. de l'École – Binza - Mont Ngaliema,1086.5195133397956
27,20,Nsele,21,RP Nsele,Nsele - RP Nsele,1083.3839999999998
28,19,Aéroport Ndjili,20,Nsele,Aéroport Ndjili - Nsele,1083.3839999999998
29,21,RP Nsele,22,Menkao,RP Nsele - Menkao,1083.3839999999998
30,12,Rond Point Ngaba,25,UNIKIN,Rond Point Ngaba - UNIKIN,2.8075868792176404e-08
31,11,Triangle Campus,25,UNIKIN,Triangle Campus - UNIKIN,2.8075868792176397e-08
32,21,RP Nsele,23,Maluku,RP Nsele - Maluku,1.4707853552801454e-41
33,25,UNIKIN,26,Kimwenza 2,UNIKIN - Kimwenza 2,-1.7864984285368823e-40
34,2,Triangle Matadi Kibala,24,Arrêt Gare,Triangle Matadi Kibala - Arrêt Gare,-2.947622775616802e-39
