Rank,u,u_label,v,v_label,Edge name,flow volume
1,16,Échangeur 1,17,Masina,Échangeur 1 - Masina,2178.9039999999995
2,16,Échangeur 1,29,Limete PL,Échangeur 1 - Limete PL,1802.6879993965117
3,6,Bd du 30 Juin,10,Pierre Mulele,Bd du 30 Juin - Pierre Mulele,1724.7879988755321
4,27,Benseke,28,Wenze Matadi Kibala,Benseke - Wenze Matadi Kibala,1670.3400000000004
5,2,Triangle Matadi Kibala,28,Wenze Matadi Kibala,Triangle Matadi Kibala - Wenze Matadi Kibala,1670.3400000000004
6,1,Route de Matadi (border Kinshasa),27,Benseke,Route de Matadi (border Kinshasa) - Benseke,1670.3400000000004
7,11,Triangle Campus,12,Rond Point Ngaba,Triangle Campus - Rond Point Ngaba,1654.595959930067
8,2,Triangle Matadi Kibala,11,Triangle Campus,Triangle Matadi Kibala - Triangle Campus,1654.5959599213345
9,15,Lemba,16,Échangeur 1,Lemba - Échangeur 1,1612.3727535486132
10,7,Gare Centrale,29,Limete PL,Gare Centrale - Limete PL,1556.6879993257476
11,10,Pierre Mulele,14,Bd Triomphal,Pierre Mulele - Bd Triomphal,1523.8880383104017
12,16,Échangeur 1,30,Limete R,Échangeur 1 - Limete R,1510.3647542340939
13,13,Av. de l'Université,30,Limete R,Av. de l'Université - Limete R,1460.659245431777
14,6,Bd du 30 Juin,7,Gare Centrale,Bd du 30 Juin - Gare Centrale,1325.1199990911978
15,13,Av. de l'Université,14,Bd Triomphal,Av. de l'Université - Bd Triomphal,1282.6440382603357
16,18,Av. Ndjoku,19,Aéroport Ndjili,Av. Ndjoku - Aéroport Ndjili,1158.0040000000001
17,17,Masina,18,Av. Ndjoku,Masina - Av. Ndjoku,1158.0040000000001
18,12,Rond Point Ngaba,15,Lemba,Rond Point Ngaba - Lemba,1153.8287532655336
19,5,Mont Ngaliema,6,Bd du 30 Juin,Mont Ngaliema - Bd du 30 Juin,897.2440000873064
20,2,Triangle Matadi Kibala,3,UPN,Triangle Matadi Kibala - UPN,803.436037990155
21,9,Sanatorium,10,Pierre Mulele,Sanatorium - Pierre Mulele,756.6960378462846
22,8,Selembao (Auto Stop),9,Sanatorium,Selembao (Auto Stop) - Sanatorium,645.5040377864556
23,3,UPN,8,Selembao (Auto Stop),UPN - Selembao (Auto Stop),637.3040377115889
24,20,Nsele,21,RP Nsele,Nsele - RP Nsele,541.692
25,21,RP Nsele,22,Menkao,RP Nsele - Menkao,541.692
26,19,Aéroport Ndjili,20,Nsele,Aéroport Ndjili - Nsele,541.692
27,12,Rond Point Ngaba,13,Av. de l'Université,Rond Point Ngaba - Av. de l'Université,469.2792055694274
28,3,UPN,4,Av. de l'École – Binza,UPN - Av. de l'École – Binza,166.13199991485047
29,4,Av. de l'École – Binza,5,Mont Ngaliema,Av. de l'École – Binza - Mont Ngaliema,124.47599978825136
30,25,UNIKIN,26,Kimwenza 2,UNIKIN - Kimwenza 2,2.7805271073260628e-40
31,2,Triangle Matadi Kibala,24,Arrêt Gare,Triangle Matadi Kibala - Arrêt Gare,1.4564694673469257e-40
32,21,RP Nsele,23,Maluku,RP Nsele - Maluku,-2.482194220545122e-40
33,12,Rond Point Ngaba,25,UNIKIN,Rond Point Ngaba - UNIKIN,-8.731991826714088e-09
34,11,Triangle Campus,25,UNIKIN,Triangle Campus - UNIKIN,-8.731991826714088e-09
